host_numcpu: 12
host_gomaxprocs: 12
host_goversion: go1.26.4
host_totalmem: 16.00 GB
host_timestamp: 2026-06-23T06:12:00Z
PASS
ok  	github.com/jokruger/kavun-benchmark/bench	0.466s
goos: darwin
goarch: amd64
pkg: github.com/jokruger/kavun-benchmark/bench/goja
cpu: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
BenchmarkGoLua/str_contains-12            	    1754	    685368 ns/op	   65216 B/op	    6008 allocs/op
BenchmarkGoLua/str_contains-12            	    1734	    665692 ns/op	   65216 B/op	    6008 allocs/op
BenchmarkGoLua/str_contains-12            	    1761	    660185 ns/op	   65216 B/op	    6008 allocs/op
BenchmarkGoLua/array_dot-12               	    7378	    148280 ns/op	   74000 B/op	    4527 allocs/op
BenchmarkGoLua/array_dot-12               	    7861	    145032 ns/op	   74000 B/op	    4527 allocs/op
BenchmarkGoLua/array_dot-12               	    7849	    146455 ns/op	   74000 B/op	    4527 allocs/op
BenchmarkGoLua/array_dot-12               	    7846	    146548 ns/op	   74000 B/op	    4527 allocs/op
BenchmarkGoLua/array_dot-12               	    8143	    145162 ns/op	   74000 B/op	    4527 allocs/op
PASS
ok  	github.com/jokruger/kavun-benchmark/bench/golua	58.689s
goos: darwin
goarch: amd64
pkg: github.com/jokruger/kavun-benchmark/bench/gopherlua
cpu: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
BenchmarkGopherLua/fib-12         	      56	  20941252 ns/op	   10778 B/op	      42 allocs/op
BenchmarkGopherLua/fib-12         	      56	  21163129 ns/op	   10778 B/op	      42 allocs/op
BenchmarkGopherLua/fib-12         	      55	  21094229 ns/op	   10777 B/op	      42 allocs/op
BenchmarkGopherLua/fib-12         	      49	  21152012 ns/op	   10777 B/op	      42 allocs/op
BenchmarkGopherLua/fib-12         	      56	  20970634 ns/op	   10778 B/op	      42 allocs/op
BenchmarkGopherLua/fib_tail-12    	  367330	      3119 ns/op	    2960 B/op	      12 allocs/op
BenchmarkGopherLua/fib_tail-12    	  369970	      3136 ns/op	    2960 B/op	      12 allocs/op
